study_id,year,tier,has_fulltext,domain,platform_stack,consensus_strategy,network_model,governance_model,access_control_model,privacy_mechanism,smart_contract_support
ST-0566,2023,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,Hyperledger Fabric; Ethereum; Bitcoin,RAFT,consortium; permissioned; private,not specified,RBAC; ABAC; MSP (Fabric),private channels; attribute-based encryption,yes
ST-0568,2023,C,False,unclassified,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0569,2023,B,True,education,Ethereum,not specified,consortium,not specified,not specified,homomorphic encryption,yes
ST-0577,2023,D,False,healthcare; supply chain,not specified,not specified,not specified,not specified,not specified,private channels,not specified
ST-0579,2022,C,False,healthcare; government/public sector; education,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0580,2022,C,False,government/public sector,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0582,2022,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,Hyperledger Fabric; Corda; Ethereum; IOTA; Ripple/XRP; Bitcoin,PBFT; RAFT; PoS; PoW; DPoS,consortium; private; public,DAO/on-chain voting,not specified,zero-knowledge proofs; private channels; ring signatures,yes
ST-0586,2022,C,False,supply chain; government/public sector; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0587,2022,C,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0588,2022,D,False,healthcare; supply chain; government/public sector; education,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0596,2022,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,Bitcoin,PBFT; BFT (general); RAFT; PoW,consortium; permissioned; public,multi-sig policy,not specified,not specified,not mentioned
ST-0598,2022,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility,Quorum,BFT (general); RAFT; Istanbul BFT,consortium; permissioned,not specified,not specified,not specified,yes
ST-0612,2022,B,False,healthcare; education,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0613,2022,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Hyperledger Fabric; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum; Bitcoin,PBFT; BFT (general); PoS; PoW; DPoS,consortium; permissioned; private; public,not specified,decentralized identity,not specified,yes
ST-0615,2022,A,True,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,Hyperledger Fabric; Hyperledger Sawtooth; Ethereum; Bitcoin,PoS; PoW,consortium; permissioned,regulator-controlled,not specified,homomorphic encryption,yes
ST-0617,2022,C,False,healthcare; finance/banking; government/public sector,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0623,2022,C,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0628,2022,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; agriculture,not specified,PBFT; BFT (general); PoW,consortium; permissioned; public,not specified,not specified,not specified,not mentioned
ST-0633,2022,B,False,healthcare; identity; education,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0636,2022,C,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0642,2022,A,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,homomorphic encryption,yes
ST-0646,2022,C,False,healthcare; IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,yes
ST-0653,2022,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility,Hyperledger Fabric; Ethereum; Cosmos/Tendermint; IOTA,Tendermint BFT; BFT (general); PoW,consortium; permissioned; public,consortium agreement; multi-sig policy,MSP (Fabric),not specified,yes
ST-0654,2022,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; transportation/mobility,Hyperledger Fabric; Ethereum; Bitcoin,PBFT; BFT (general); PoW,consortium; private,not specified,MSP (Fabric); decentralized identity,zero-knowledge proofs,yes
ST-0666,2022,C,False,finance/banking; supply chain; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0667,2022,C,False,IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0668,2022,C,False,IoT/edge,Hyperledger Fabric; Hyperledger Sawtooth,not specified,not specified,not specified,not specified,not specified,not specified
ST-0673,2022,C,False,healthcare; supply chain; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0675,2022,C,False,supply chain; IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0676,2022,C,False,energy/utilities; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0678,2022,C,False,unclassified,not specified,PBFT,not specified,not specified,not specified,not specified,not specified
ST-0679,2022,B,True,healthcare; finance/banking; supply chain; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,Hyperledger Fabric; Ethereum; Bitcoin,not specified,consortium; permissioned; private; public,not specified,not specified,not specified,not mentioned
ST-0693,2022,C,False,energy/utilities; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0698,2022,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Quorum,BFT (general); Istanbul BFT,consortium,not specified,decentralized identity,not specified,yes
ST-0699,2022,B,True,healthcare; finance/banking; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,not specified,not specified,consortium; public,not specified,not specified,zero-knowledge proofs; homomorphic encryption; MPC/secure computation; private channels; differential privacy; ring signatures,yes
ST-0701,2022,C,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0702,2022,D,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0704,2022,C,False,IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0705,2022,D,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0706,2021,D,False,government/public sector,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0711,2021,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture,Hyperledger Fabric; Corda; Ethereum; Bitcoin,PBFT; BFT (general),consortium; permissioned,multi-sig policy,not specified,zero-knowledge proofs; homomorphic encryption; private channels,yes
ST-0713,2021,C,False,government/public sector; energy/utilities; identity; IoT/edge,not specified,PoW,not specified,not specified,not specified,not specified,yes
ST-0715,2021,D,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0720,2021,B,True,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education,Ethereum; Bitcoin,PoW,private,not specified,decentralized identity,homomorphic encryption; tokenisation,yes
ST-0725,2021,B,True,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,Hyperledger Fabric; Ethereum; Bitcoin,PBFT; BFT (general); RAFT; PoW,consortium; permissioned; private; public,not specified,MSP (Fabric),private channels,yes
ST-0728,2021,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Hyperledger Fabric; Corda; Ethereum; Stellar; Bitcoin,PBFT; BFT (general); PoA; PoS; PoW; DPoS,permissioned,DAO/on-chain voting,decentralized identity,TEE/SGX,yes
ST-0732,2021,B,False,supply chain; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0733,2021,B,False,healthcare,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0736,2021,C,False,energy/utilities; IoT/edge,not specified,PoS; PoW,not specified,not specified,not specified,not specified,not specified
ST-0750,2021,B,False,healthcare; finance/banking; energy/utilities; IoT/edge; education,Ethereum,not specified,not specified,not specified,not specified,not specified,not specified
ST-0751,2021,D,False,supply chain,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0753,2021,B,True,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility,Ethereum,not specified,consortium; private; public,not specified,not specified,not specified,not mentioned
ST-0755,2021,B,False,IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0763,2021,D,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0764,2021,C,False,finance/banking; IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0767,2021,C,False,healthcare; supply chain,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0768,2021,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS,Hyperledger Fabric; Hyperledger Sawtooth; Corda; Ethereum; Bitcoin,PBFT; BFT (general); RAFT; PoA; PoS; PoW,permissioned; private; public,not specified,not specified,not specified,yes
ST-0771,2021,B,False,healthcare,not specified,PBFT,not specified,not specified,not specified,not specified,not specified
ST-0774,2021,C,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0777,2021,B,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,homomorphic encryption; private channels,not specified
ST-0779,2021,C,False,supply chain,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0783,2021,B,False,supply chain; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0786,2021,C,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0787,2021,B,False,healthcare; finance/banking; supply chain; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0789,2021,B,True,healthcare; government/public sector; education,not specified,not specified,not specified,not specified,not specified,not specified,not mentioned
ST-0790,2021,C,False,healthcare; finance/banking; supply chain; energy/utilities,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0792,2021,C,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0793,2021,C,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0794,2021,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,Hyperledger Fabric; Ethereum,PoS,consortium; permissioned; hybrid,not specified,not specified,private channels,yes
ST-0795,2021,C,False,supply chain; IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0796,2021,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education,Hyperledger Fabric; Hyperledger Besu; Quorum; Ethereum; Polkadot/Substrate; Bitcoin,PBFT; BFT (general); PoW,consortium; permissioned; private,not specified,not specified,not specified,yes
ST-0797,2021,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education,Hyperledger Fabric; Hyperledger Besu; Ethereum; Bitcoin,PBFT; BFT (general); RAFT; PoS; PoW,consortium; permissioned; private; public; hybrid,DAO/on-chain voting,MSP (Fabric),not specified,yes
ST-0798,2021,B,True,finance/banking; supply chain; government/public sector; IoT/edge/CPS,Hyperledger Fabric; Ethereum; Bitcoin,PoS; PoW,consortium; permissioned; private; public,not specified,not specified,not specified,yes
ST-0801,2021,C,False,unclassified,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0804,2021,B,False,healthcare; supply chain; IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,yes
ST-0811,2021,A,False,supply chain; government/public sector; identity; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0813,2021,C,False,supply chain; government/public sector,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0814,2021,B,True,healthcare; finance/banking; supply chain; government/public sector; IoT/edge/CPS; education; transportation/mobility,Hyperledger Fabric; Quorum; Ethereum; IOTA; Bitcoin,BFT (general); RAFT; PoS; PoW; Istanbul BFT,permissioned; public,DAO/on-chain voting,RBAC,private channels,yes
ST-0815,2021,C,False,healthcare; government/public sector,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0816,2021,C,False,healthcare; finance/banking; supply chain; government/public sector; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0818,2021,C,False,healthcare; IoT/edge,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0822,2021,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education,Hyperledger Fabric; Ethereum; Bitcoin,not specified,consortium; public,not specified,not specified,not specified,yes
ST-0827,2021,C,False,unclassified,not specified,not specified,not specified,not specified,not specified,homomorphic encryption,yes
ST-0838,2021,C,False,identity; IoT/edge,not specified,not specified,not specified,not specified,not specified,private channels,not specified
ST-0842,2024,A,True,finance/banking; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Ethereum; Bitcoin,PoS; PoW,not specified,DAO/on-chain voting,decentralized identity,zero-knowledge proofs; homomorphic encryption; MPC/secure computation,not mentioned
ST-0846,2021,B,True,healthcare,Hyperledger Fabric,not specified,permissioned,not specified,not specified,not specified,yes
ST-0847,2025,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture,Hyperledger Fabric,PBFT; BFT (general); PoW,consortium; public,consortium agreement; multi-sig policy,ABAC,homomorphic encryption; differential privacy; attribute-based encryption,yes
ST-0849,2025,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Ethereum; Bitcoin,not specified,consortium; private; public,multi-sig policy,not specified,zero-knowledge proofs; private channels; attribute-based encryption,not mentioned
ST-0850,2025,B,True,finance/banking; supply chain; government/public sector; identity/PKI; education,Hyperledger Fabric; Bitcoin,PBFT; RAFT,consortium,not specified,ABAC,zero-knowledge proofs; homomorphic encryption; MPC/secure computation; attribute-based encryption,yes
ST-0853,2022,B,True,healthcare; identity/PKI; IoT/edge/CPS; education; transportation/mobility,not specified,not specified,consortium,not specified,not specified,not specified,not mentioned
ST-0856,2023,B,True,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; education,Hyperledger Fabric; Quorum; Ethereum; Bitcoin,BFT (general); PoW; Clique (PoA); Istanbul BFT,consortium; permissioned; public,not specified,decentralized identity,zero-knowledge proofs; homomorphic encryption; private channels; TEE/SGX; tokenisation,yes
ST-0859,2023,B,True,healthcare; finance/banking; government/public sector,Quorum; Ethereum,not specified,consortium; permissioned; private,not specified,not specified,not specified,yes
ST-0860,2026,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,Ethereum,PoA; PoS; PoW,consortium; private; public,not specified,RBAC; ABAC; decentralized identity,homomorphic encryption; MPC/secure computation; attribute-based encryption,yes
ST-0862,2025,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture,Ethereum; Bitcoin,PoW,private,multi-sig policy,not specified,zero-knowledge proofs,yes
ST-0863,2022,A,False,healthcare,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
